Winners, Losers
Oregon,Chaminade
Providence,Northwestern
Rice,Evansville
Stony Brook,Sacred Heart
Saint Mary's,Notre Dame
Boston University,Sam Houston State
North Dakota State,Tarleton State
Wisconsin,Texas A&M
Santa Clara,TCU
Texas-Rio Grande Valley,Northern Arizona
Toledo,Charlotte
Troy,Florida Atlantic
Alabama State,Tuskegee
Utah Valley,Idaho
Valparaiso,Jacksonville State
Oakland,Vermont
Virginia,Georgia
Western Illinois,Northern Kentucky
Iowa,Western Michigan
New Mexico,Western New Mexico
South Alabama,William Carey
Washington State,Winthrop
George Washington,Wright State
Wyoming,Grand Canyon
Gonzaga,UCLA
Wisconsin,Houston
Arkansas,Cincinnati
Illinois,Kansas State
Appalachian State,Akron
UMBC,American
Mercer,Bucknell
Texas-Rio Grande Valley,Cal State Fullerton
Central Connecticut,Maine
Bellarmine,Central Michigan
Drexel,Charlotte
Lehigh,Columbia
Chattanooga,Covenant
Miami (OH),Defiance
ETSU,Missouri State
Southern,Ecclesia
Vermont,Evansville
Delaware,Fordham
Nevada,George Mason
Northwestern,Georgia
Merrimack,Hartford
Saint Louis,Illinois State
Indiana,Jackson State
James Madison,Wright State
Wake Forest,Kennesaw State
Kent State,George Washington
Liberty,Bethune-Cookman
Tennessee Tech,Lipscomb
St. Peter's,LIU
Marshall,Louisiana
Middle Tennessee,Rider
Bowling Green State,Milwaukee
Murray State,Long Beach State
Texas Tech,Omaha
UNC,UNC Asheville
Stanford,North Carolina A&T
San Jose State,Northern Colorado
Notre Dame,Chaminade
North Alabama,Oakwood
Saint Mary's,Oregon
Seattle,Pacific Lutheran
Towson,Penn
Fresno State,Pepperdine
Portland,Portland State
South Dakota,Presentation College
New Hampshire,Quinnipiac
Norfolk State,Regent
Florida Gulf Coast,Rhode Island
Oakland,Rice
Oral Roberts,Rogers State
Sacramento State,UC-Davis
USC Upstate,South Carolina State
IUPUI,Spalding
St. John's (NY),St. Francis (NY)
Stephen F. Austin,Buffalo
Nebraska,Tennessee State
Texas A&M,Butler
Toledo,Tulane
Coastal Carolina,Valparaiso
Virginia,Providence
North Carolina Central,Warren Wilson
Washington,South Dakota State
South Carolina,Wofford
Southern Utah,Yale
Baylor,Arizona State
Texas,California Baptist
Memphis,Virginia Tech
Houston,Oregon
BYU,Texas Southern
UConn,Auburn
Michigan,Tarleton State
Seton Hall,California
Florida,Ohio State
Iowa State,Xavier
Western Kentucky,Alabama A&M
Albany (NY),Eastern Illinois
UCSB,Arkansas-Pine Bluff
Florida State,Boston University
Buffalo,Illinois State
Cal Poly,Idaho
Cal State Fullerton,Northern Arizona
Montana,UC-San Diego
UT-Martin,Carver College
New Orleans,Central Arkansas
Butler,Chaminade
Harvard,Colgate
Gardner-Webb,Columbia International
Canisius,Coppin State
Air Force,Denver
Loyola (MD),Elizabethtown
Akron,Evansville
NJIT,Fairleigh Dickinson
UTEP,Florida A&M
South Dakota State,George Mason
Missouri State,George Washington
South Florida,Hampton
Oklahoma,Houston Baptist
Minnesota,Jacksonville
Jacksonville State,Drexel
Murray State,James Madison
ETSU,Kent State
UTSA,Lamar
Texas State,LeTourneau
Grand Canyon,Life Pacific
Grambling,Louisiana College
Louisiana Tech,Louisiana-Monroe
Michigan State,Loyola (IL)
Campbell,Maryland-Eastern Shore
UMass,UMass-Lowell
Middle Tennessee,Mercer
Hofstra,Molloy
Holy Cross,Mount Saint Vincent
New Mexico State,New Mexico Highlands
Utah Valley,Nicholls State
UNC Greensboro,North Carolina Wesleyan
Florida International,North Dakota
Oakland,Delaware
TCU,Pepperdine
Monmouth,Princeton
Fordham,Rice
Rider,Bucknell
Cornell,Saint Francis (PA)
SMU,Sam Houston State
Southern Miss,UNC Wilmington
Southern Utah,Bowling Green State
Cal State Northridge,St. Katherine
Saint Louis,Stephen F. Austin
Fairfield,Stony Brook
Texas A&M,Notre Dame
Toledo,Coastal Carolina
Valparaiso,Tulane
Vanderbilt,Pitt
Vermont,Appalachian State
VCU,Syracuse
Presbyterian,VMI
Nevada,Washington
Navy,Washington College
Eastern Michigan,Western Illinois
UNLV,Whittier
Radford,William & Mary
Wisconsin,Saint Mary's
Long Beach State,Wright State
Yale,Milwaukee
Kansas,North Texas
Baylor,VCU
Iona,Alabama
Auburn,Loyola (IL)
Michigan State,UConn
USC,St. Joseph's
UAB,New Mexico
Syracuse,Arizona State
Belmont,Drake
Southern Miss,UC-San Diego
VMI,Central Arkansas
Dayton,Miami (FL)
San Diego State,Georgetown
Hawaii,UIC
Louisville,Mississippi State
Maryland,Richmond
Presbyterian,New Orleans
San Francisco,Towson
Fresno State,Santa Clara
