Winners, Losers
Georgia Tech,Boston College
San Francisco,BYU
Yale,Brown
California Baptist,Lamar
Cal State Fullerton,UC-Davis
UC-Irvine,Cal State Bakersfield
Long Beach State,UC-Riverside
Cal Poly,UC-San Diego
Charlotte,Southern Miss
Seattle,Chicago State
Chattanooga,The Citadel
Colorado,Utah
Cornell,Columbia
Dartmouth,Harvard
Dayton,Davidson
North Dakota State,Denver
Grand Canyon,Dixie State
Drake,Missouri State
Wichita State,East Carolina
St. Peter's,Fairfield
Florida Atlantic,Florida International
Wyoming,Fresno State
Winthrop,Gardner-Webb
Fordham,George Washington
Xavier,Georgetown
Missouri,Georgia
Appalachian State,Georgia Southern
Alabama State,Grambling
Hawaii,Cal State Northridge
Jacksonville,Jacksonville State
La Salle,Duquesne
Wagner,LIU
Louisiana,Texas State
UAB,Louisiana Tech
Loyola (IL),Northern Iowa
Niagara,Marist
Western Kentucky,Marshall
UMass,George Mason
Houston Baptist,McNeese State
Furman,Mercer
Miami (FL),Syracuse
Old Dominion,Middle Tennessee
Texas A&M,Mississippi State
Jackson State,Mississippi Valley State
Rider,Monmouth
Bryant,Mount St. Mary's
South Dakota State,Omaha
New Mexico,UNLV
Nicholls State,New Orleans
Samford,UNC Greensboro
Florida State,NC State
UTEP,North Texas
Northeastern,William & Mary
Idaho,Northern Arizona
Montana State,Northern Colorado
Oklahoma,Kansas State
Washington State,Oregon
Washington,Oregon State
Notre Dame,Pitt
Eastern Washington,Portland State
Texas Southern,Prairie View
Princeton,Penn
Iona,Quinnipiac
St. Joseph's,Rhode Island
UTSA,Rice
Sacramento State,Montana
San Diego State,Nevada
Seton Hall,Creighton
Canisius,Siena
Longwood,USC Upstate
Southeastern Louisiana,Northwestern State
Southern,Alabama A&M
Southern Utah,Weber State
Marquette,St. John's (NY)
Arizona State,Stanford
Stephen F. Austin,Texas-Rio Grande Valley
Abilene Christian,Tarleton State
Texas A&M-Corpus Christi,Incarnate Word
West Virginia,TCU
New Mexico State,Utah Valley
Vanderbilt,Ole Miss
Virginia,Louisville
Saint Louis,VCU
Wofford,VMI
Clemson,Virginia Tech
Nebraska,Wisconsin
Memphis,Houston
Illinois,Iowa
Michigan,Ohio State
Hartford,Albany (NY)
Binghamton,New Hampshire
Navy,Boston University
Tulsa,UCF
College of Charleston,Hofstra
Delaware,Drexel
UNC Wilmington,Elon
Georgia State,Appalachian State
Colgate,Lehigh
Louisiana,Troy
Loyola (IL),Drake
Michigan State,Maryland
UMBC,UMass-Lowell
Northwestern,Minnesota
Vermont,NJIT
Towson,Northeastern
Rutgers,Penn State
Santa Clara,Portland
Furman,Samford
South Dakota,Kansas City
Temple,South Florida
SMU,Tulane
Oral Roberts,Western Illinois
Longwood,Winthrop
Chattanooga,Wofford
Gonzaga,San Francisco
Saint Mary's,Santa Clara
UNC Wilmington,College of Charleston
Delaware,Towson
Chattanooga,Furman
Georgia State,Louisiana
Northern Kentucky,Purdue-Fort Wayne
North Dakota State,Oral Roberts
South Dakota State,South Dakota
Wright State,Cleveland State
Gonzaga,Saint Mary's
Boston College,Pitt
UC-Davis,Cal Poly
Cal State Bakersfield,Cal State Northridge
Fairfield,Canisius
Utah Valley,Chicago State
Delaware,UNC Wilmington
Louisville,Georgia Tech
Bellarmine,Jacksonville
Marshall,Florida International
Clemson,NC State
South Dakota State,North Dakota State
Quinnipiac,Marist
Rider,Manhattan
Southern Miss,UTSA
California Baptist,Texas-Rio Grande Valley
Bryant,Wagner
Wright State,Northern Kentucky
Utah State,Air Force
Vermont,Binghamton
Boston College,Wake Forest
Butler,Xavier
Washington State,California
Sam Houston State,California Baptist
Virginia Tech,Clemson
Coppin State,Howard
Norfolk State,Delaware State
St. John's (NY),DePaul
Rhode Island,Duquesne
St. Peter's,Fairfield
Seton Hall,Georgetown
Vanderbilt,Georgia
UMBC,Hartford
Sacramento State,Idaho
Portland State,Idaho State
Houston Baptist,Incarnate Word
Texas Southern,Jackson State
Virginia,Louisville
Louisiana Tech,Marshall
McNeese State,Northwestern State
Penn State,Minnesota
Missouri,Ole Miss
Colgate,Navy
Northwestern,Nebraska
Nevada,New Mexico
Eastern Washington,Northern Arizona
UTEP,Old Dominion
Oregon,Oregon State
Alcorn State,Prairie View
Rice,Charlotte
Rider,Iona
La Salle,St. Joseph's
Fresno State,San Jose State
Florida Atlantic,Southern Miss
Stanford,Arizona State
Syracuse,Florida State
Washington,Utah
Abilene Christian,Utah Valley
West Virginia,Kansas State
Arizona,Stanford
Oklahoma,Baylor
Kansas,West Virginia
Duke,Syracuse
Villanova,St. John's (NY)
Providence,Butler
UCLA,Washington State
Texas Tech,Iowa State
UConn,Seton Hall
USC,Washington
TCU,Texas
Colorado State,Utah State
Iowa,Northwestern
UNC,Virginia
Abilene Christian,Stephen F. Austin
Alabama A&M,Florida A&M
Ohio,Ball State
Miami (FL),Boston College
Akron,Buffalo
Long Beach State,Cal State Bakersfield
Cal State Fullerton,UC-Davis
Hawaii,UC-Riverside
UCSB,UC-Irvine
Toledo,Central Michigan
Cincinnati,East Carolina
Northern Colorado,Eastern Washington
Texas A&M,Florida
UAB,Florida Atlantic
San Diego State,Fresno State
Fordham,George Mason
Grambling,Southern
Texas A&M-Corpus Christi,Houston Baptist
Indiana,Michigan
Saint Louis,La Salle
Louisiana Tech,Western Kentucky
Creighton,Marquette
Michigan State,Maryland
North Carolina Central,Maryland-Eastern Shore
UMass,George Washington
New Orleans,McNeese State
Kent State,Miami (OH)
Mississippi State,South Carolina
LSU,Missouri
Weber State,Montana
Boise State,Nevada
Wyoming,UNLV
Monmouth,Niagara
Colorado,Oregon
Penn State,Ohio State
Portland State,Southern Utah
Quinnipiac,Siena
Richmond,Rhode Island
North Texas,Rice
Montana State,Sacramento State
Grand Canyon,Sam Houston State
Morgan State,South Carolina State
UCF,South Florida
Middle Tennessee,UTEP
Tulsa,Wichita State
Vanderbilt,Alabama
Virginia Tech,Notre Dame
Arizona,Colorado
Texas A&M,Auburn
Kentucky,Vanderbilt
Kansas,TCU
Duke,Miami (FL)
Villanova,UConn
Tennessee,Mississippi State
Purdue,Penn State
Creighton,Providence
Michigan State,Wisconsin
UCLA,USC
Texas Tech,Oklahoma
Arkansas,LSU
Indiana,Illinois
Houston,Cincinnati
San Diego State,Colorado State
Iowa,Rutgers
Virginia Tech,UNC
Abilene Christian,Seattle
Akron,Toledo
Alcorn State,Alabama A&M
UAB,Middle Tennessee
Long Beach State,UCSB
Memphis,UCF
Coppin State,North Carolina Central
Davidson,Fordham
Texas Southern,Grambling
New Mexico State,Grand Canyon
Cal State Fullerton,Hawaii
Louisiana Tech,North Texas
Dayton,UMass
Norfolk State,Morgan State
Southeastern Louisiana,New Orleans
Kent State,Ohio
Northern Colorado,Portland State
St. Peter's,Quinnipiac
Richmond,VCU
Monmouth,Rider
Saint Louis,St. Bonaventure
Texas A&M-Corpus Christi,Nicholls State
Tulane,Temple
SMU,Tulsa
Montana State,Weber State
Boise State,Wyoming
